titulo,preco,rating,disponibilidade,categoria,imagem_url,id
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,5,In stock,Fiction,https://books.toscrape.com/media/cache/08/89/088995e862aac86c88c608d763f6390e.jpg,43
A Murder in Time,16.64,1,In stock,Default,https://books.toscrape.com/media/cache/11/aa/11aaad48b5f15e262456ca65294084da.jpg,44
A Flight of Arrows (The Pathfinders #2),55.53,5,In stock,Nonfiction,https://books.toscrape.com/media/cache/82/96/8296f92b70fb1dafefecda92c1d51941.jpg,45
A Fierce and Subtle Poison,28.13,4,In stock,Mystery,https://books.toscrape.com/media/cache/12/f1/12f1963957f27fa83d51f76b183ef490.jpg,46
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,1,In stock,Default,https://books.toscrape.com/media/cache/c0/88/c08816960890396213a423941af65b8f.jpg,47
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,5,In stock,Business,https://books.toscrape.com/media/cache/cd/db/cddb3eb483ef11a088d519205b7098fb.jpg,48
You Are What You Love: The Spiritual Power of Habit,21.87,4,In stock,Philosophy,https://books.toscrape.com/media/cache/6b/70/6b70f2cdb17d9ab7551240a88b9211fe.jpg,49
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,In stock,Historical Fiction,https://books.toscrape.com/media/cache/02/37/0237b445efc18c5562355a5a2c40889c.jpg,50
Tuesday Nights in 1980,21.04,2,In stock,Default,https://books.toscrape.com/media/cache/6b/da/6bdae061cb92c32b0b83cda8dd10275d.jpg,51
Tracing Numbers on a Train,41.6,3,In stock,Young Adult,https://books.toscrape.com/media/cache/06/a6/06a6cfcf89afd1601cbba1a16cda57fb.jpg,52
Throne of Glass (Throne of Glass #1),35.07,3,In stock,Romance,https://books.toscrape.com/media/cache/32/d6/32d6aa560e8ddf2a4da1526b95d4c7ab.jpg,53
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,1,In stock,History,https://books.toscrape.com/media/cache/97/47/974709d437b08e74649b5744471bf472.jpg,54
Thirteen Reasons Why,52.72,1,In stock,Childrens,https://books.toscrape.com/media/cache/8a/83/8a83b6ce350f01bab21f85e6ba539316.jpg,55
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,4,In stock,Fantasy,https://books.toscrape.com/media/cache/26/32/2632a1e12f2c085fabbe022ae4cd6933.jpg,56
The Wedding Dress,24.12,1,In stock,Default,https://books.toscrape.com/media/cache/28/99/28992d89f4abf54fba183fc8d074adf3.jpg,57
The Vacationers,42.15,4,In stock,Fiction,https://books.toscrape.com/media/cache/37/25/372578cc073efae80cf284b56040a488.jpg,58
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,5,In stock,Christian,https://books.toscrape.com/media/cache/d0/77/d077a30042df6b916bfc8d257345c69e.jpg,59
The Stranger,17.44,4,In stock,Science Fiction,https://books.toscrape.com/media/cache/ea/04/ea0476a6f4c318ceccf5e2f2b39f2b15.jpg,60
Slow States of Collapse: Poems,57.31,3,In stock,Poetry,https://books.toscrape.com/media/cache/72/41/72417db983862010ef0c1a25de98c7d7.jpg,61
Reasons to Stay Alive,26.41,2,In stock,Fiction,https://books.toscrape.com/media/cache/cb/bd/cbbdb0222ee8a0f6ab61657412a15794.jpg,62
Private Paris (Private #10),47.61,5,In stock,History,https://books.toscrape.com/media/cache/9d/05/9d0533bae1578846d728a82913b95c26.jpg,63
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,In stock,Sequential Art,https://books.toscrape.com/media/cache/9c/46/9c463c7631c82401160fd3b554b8f0e1.jpg,64
Without Borders (Wanderlove #1),45.07,2,In stock,Poetry,https://books.toscrape.com/media/cache/24/e2/24e2f5c9d325c4004d8190c054da86dd.jpg,65
When We Collided,31.77,1,In stock,Fiction,https://books.toscrape.com/media/cache/08/04/08044269fc197645268a6197c57e6173.jpg,66
"We Love You, Charlie Freeman",50.27,5,In stock,Nonfiction,https://books.toscrape.com/media/cache/5f/15/5f152afdbc42356ecba02f61058a7e5b.jpg,67
Untitled Collection: Sabbath Poems 2014,14.27,4,In stock,Nonfiction,https://books.toscrape.com/media/cache/f9/3b/f93b4a650f03a5d21f2436d7813f42c2.jpg,68
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,In stock,Childrens,https://books.toscrape.com/media/cache/41/a2/41a20f35adf0caea24f208dc01ad7681.jpg,69
Unicorn Tracks,18.78,3,In stock,Nonfiction,https://books.toscrape.com/media/cache/76/8e/768ea5924ac1ef6297c2be9959c796c2.jpg,70
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,In stock,Young Adult,https://books.toscrape.com/media/cache/4a/3b/4a3b055f9e378a95fedbef55e7bab7ce.jpg,71
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,In stock,Nonfiction,https://books.toscrape.com/media/cache/36/df/36df4caaf1420b1183a8235355d39e69.jpg,72
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,In stock,New Adult,https://books.toscrape.com/media/cache/03/86/038650c9e7517b4baf2a423cd8eed38f.jpg,73
This One Summer,19.49,4,In stock,Add a comment,https://books.toscrape.com/media/cache/c4/dd/c4ddd9ced89966b0602ec85e00cd5b61.jpg,74
Thirst,17.27,5,In stock,Fiction,https://books.toscrape.com/media/cache/c4/0a/c40a64f59e7487b1a80a049f6ceb2ba5.jpg,75
The Torch Is Passed: A Harding Family Story,19.09,1,In stock,Fantasy,https://books.toscrape.com/media/cache/33/e5/33e507172541628acfd421503196b578.jpg,76
The Secret of Dreadwillow Carse,56.13,1,In stock,Sequential Art,https://books.toscrape.com/media/cache/c4/a2/c4a2a1a026c67bcceb5a411c724d7d0c.jpg,77
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,In stock,Contemporary,https://books.toscrape.com/media/cache/b7/f4/b7f4843dbe062d44be1ffcfa16b2faa4.jpg,78
The Past Never Ends,56.5,4,In stock,Mystery,https://books.toscrape.com/media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg,79
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,In stock,Food and Drink,https://books.toscrape.com/media/cache/5d/7f/5d7f496cdf5e5962a73ecdcc1505c1d5.jpg,80
The Shadow Hero (The Shadow Hero),33.14,1,In stock,Food and Drink,https://books.toscrape.com/media/cache/1f/62/1f621dda1b302fc16d83d94b0b5ac31c.jpg,81
The Secret (The Secret #1),27.37,4,In stock,Nonfiction,https://books.toscrape.com/media/cache/4e/0f/4e0f05ae01d8fb6bd0d3901edd06de16.jpg,82
The Regional Office Is Under Attack!,51.36,5,In stock,Nonfiction,https://books.toscrape.com/media/cache/f8/31/f8314c7fdaa79fb7191a583e9a852db8.jpg,83
The Psychopath Test: A Journey Through the Madness Industry,36.0,2,In stock,Historical Fiction,https://books.toscrape.com/media/cache/34/f5/34f5f8e513c5f048241f5695e61b2483.jpg,84
The Project,10.65,1,In stock,Science Fiction,https://books.toscrape.com/media/cache/10/6e/106e2fc7160712edf8e2ff996dc8cd6c.jpg,85
The Power of Now: A Guide to Spiritual Enlightenment,43.54,2,In stock,Mystery,https://books.toscrape.com/media/cache/03/38/0338682e76bad3216cd4c6c28b2b625a.jpg,86
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,2,In stock,Default,https://books.toscrape.com/media/cache/14/f3/14f3d525e2a114cd71e27201a16af188.jpg,87
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,5,In stock,Fantasy,https://books.toscrape.com/media/cache/61/bd/61bdfe3950643c47d70c37c4123530f3.jpg,88
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,In stock,Crime,https://books.toscrape.com/media/cache/29/fe/29fe70b1b2e5a9ba61d4bd331255e19e.jpg,89
The Mistake (Off-Campus #2),43.29,3,In stock,Default,https://books.toscrape.com/media/cache/a5/43/a543b100a8c1861c1bf5374ca6b576fe.jpg,90
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,1,In stock,Fiction,https://books.toscrape.com/media/cache/84/ac/84acb0606c96e55dc729a9d6572a08fb.jpg,91
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,2,In stock,New Adult,https://books.toscrape.com/media/cache/0d/1f/0d1f3f934460f5a50aaa8c366641234c.jpg,92
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,1,In stock,Default,https://books.toscrape.com/media/cache/f2/e5/f2e51dd2b26600459f8eaeb6b9eecaa7.jpg,93
The Kite Runner,41.82,4,In stock,Default,https://books.toscrape.com/media/cache/58/9d/589d73503d9a23d224de836134fae553.jpg,94
The House by the Lake,36.95,1,In stock,Food and Drink,https://books.toscrape.com/media/cache/0d/cb/0dcb33d60b0e79adf8ab9842e697ea2e.jpg,95
The Glittering Court (The Glittering Court #1),44.28,1,In stock,Food and Drink,https://books.toscrape.com/media/cache/3e/0b/3e0b16851bec08b6cbf78d5f64af9114.jpg,96
The Girl on the Train,55.02,2,In stock,Nonfiction,https://books.toscrape.com/media/cache/25/6c/256c946dd0962095f66c6de3b15ab300.jpg,97
The Genius of Birds,17.24,1,In stock,Sequential Art,https://books.toscrape.com/media/cache/13/57/1357c6aa40c9e63d2f931927fbf81f3f.jpg,98
The Emerald Mystery,23.15,2,In stock,Default,https://books.toscrape.com/media/cache/81/58/81586cd0bf8743e1f5ed80b6a0e1fabe.jpg,99
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,1,In stock,New Adult,https://books.toscrape.com/media/cache/54/89/54899b4584e941ceced511d81092c88a.jpg,100
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,3,In stock,Add a comment,https://books.toscrape.com/media/cache/fe/b7/feb764b2afa54991cfdbbffdf501b333.jpg,101
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,5,In stock,Young Adult,https://books.toscrape.com/media/cache/0e/6d/0e6dc2484322c5b9e7854ced66fdf62d.jpg,102
The Art of War,33.34,5,In stock,Business,https://books.toscrape.com/media/cache/6d/71/6d71e36c8b1b9c885e1bb6c72cd8bcf8.jpg,103
The Argonauts,10.93,2,In stock,Poetry,https://books.toscrape.com/media/cache/0a/15/0a1567cd04a6582d333db71337b4e2a6.jpg,104
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,3,In stock,Nonfiction,https://books.toscrape.com/media/cache/82/93/82939ca78da0b724f16ec814849514fd.jpg,105
Suddenly in Love (Lake Haven #1),55.99,2,In stock,Christian Fiction,https://books.toscrape.com/media/cache/e9/f4/e9f4bc8cf5ffaea1504623c936e90a48.jpg,106
Something More Than This,16.24,4,In stock,Default,https://books.toscrape.com/media/cache/59/10/5910fbd8a95e8e9de9c660b71e0694e2.jpg,107
Soft Apocalypse,26.12,2,In stock,Default,https://books.toscrape.com/media/cache/f0/06/f0060c756556b855184fa32f66280961.jpg,108
So You've Been Publicly Shamed,12.23,2,In stock,Romance,https://books.toscrape.com/media/cache/6e/d4/6ed4991d97f60db29ec7b421e61a2cf3.jpg,109
Shoe Dog: A Memoir by the Creator of NIKE,23.99,2,In stock,Business,https://books.toscrape.com/media/cache/19/aa/19aa1184a3565b1dae6092146018e109.jpg,110
"Shobu Samurai, Project Aryoku (#3)",29.06,3,In stock,Autobiography,https://books.toscrape.com/media/cache/ae/0c/ae0ccc307568b6d7699786411f3cbcc4.jpg,111
Secrets and Lace (Fatal Hearts #1),20.27,1,In stock,Default,https://books.toscrape.com/media/cache/84/7c/847c06b541e2a3b2228b96d97a5fe7a6.jpg,112
Scarlett Epstein Hates It Here,43.55,5,In stock,Science Fiction,https://books.toscrape.com/media/cache/0f/d3/0fd306891f8fd3196653022fd67d6c87.jpg,113
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,1,In stock,Nonfiction,https://books.toscrape.com/media/cache/12/f8/12f8002e5aab6d783e29b31aad36b5ba.jpg,114
Redeeming Love,20.47,5,In stock,Default,https://books.toscrape.com/media/cache/21/21/2121ba78e26194d92c334fde3850f840.jpg,115
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,1,In stock,Romance,https://books.toscrape.com/media/cache/5a/89/5a89e2dd7866dda6660fe508bc4b5249.jpg,116
Poems That Make Grown Women Cry,14.19,4,In stock,Default,https://books.toscrape.com/media/cache/38/64/386468a8c3e6b880664bf7885bf6f726.jpg,117
"Nightingale, Sing",38.28,1,In stock,Young Adult,https://books.toscrape.com/media/cache/18/08/18086e581ad354aa65f945c2b5c51350.jpg,118
Night Sky with Exit Wounds,41.05,1,In stock,Historical Fiction,https://books.toscrape.com/media/cache/25/54/2554431c797ec725eea50b3f8a83758c.jpg,119
Mrs. Houdini,30.25,5,In stock,Poetry,https://books.toscrape.com/media/cache/0e/fe/0efe86960cdff718aed01a5c3f65b1c3.jpg,120
The Nameless City (The Nameless City #1),38.16,4,In stock,Default,https://books.toscrape.com/media/cache/f4/79/f479de5f305c2ac0512702cf7155bb74.jpg,121
The Murder That Never Was (Forensic Instincts #5),54.11,3,In stock,Sequential Art,https://books.toscrape.com/media/cache/dc/44/dc44f8e2aebac48ca8553814d9b021a8.jpg,122
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,In stock,Spirituality,https://books.toscrape.com/media/cache/d4/8d/d48d5122a15347e9fe2b15ad354d69bf.jpg,123
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,In stock,Science,https://books.toscrape.com/media/cache/f8/6d/f86d08178e3788563ac17be5aefd29f0.jpg,124
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,In stock,History,https://books.toscrape.com/media/cache/95/64/95647d6a526bf54120b9445e124794e1.jpg,125
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,In stock,Fantasy,https://books.toscrape.com/media/cache/75/dc/75dce2f5949b407161f37f0af249b018.jpg,126
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,In stock,Add a comment,https://books.toscrape.com/media/cache/64/15/641570cd7e7aded53c7d33d78a9629f1.jpg,127
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,In stock,Nonfiction,https://books.toscrape.com/media/cache/2e/23/2e236e23ad52aa74505f224f6552eda8.jpg,128
The Death of Humanity: and the Case for Life,58.11,4,In stock,Nonfiction,https://books.toscrape.com/media/cache/71/df/71df730cf38c232ee58a2e407135f055.jpg,129
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,In stock,Sequential Art,https://books.toscrape.com/media/cache/ee/3e/ee3e219d23e73ba71c79b700f183aaed.jpg,130
The Art Forger,40.76,3,In stock,Nonfiction,https://books.toscrape.com/media/cache/70/fa/70fa6c0437d9c97dbeada6bd32bf9d2c.jpg,131
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,In stock,Default,https://books.toscrape.com/media/cache/2d/4e/2d4e358712e6c9f1d3bdd78d1a16e5a8.jpg,132
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,In stock,Sequential Art,https://books.toscrape.com/media/cache/96/db/96db61bb53930c560fb4c1c62b583816.jpg,133
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,In stock,Nonfiction,https://books.toscrape.com/media/cache/f3/4f/f34ffb24cc21c9f9f52dad4fd8f3ac21.jpg,134
Soul Reader,39.58,2,In stock,Health,https://books.toscrape.com/media/cache/69/85/69852567cf97264a1442cbc882c84903.jpg,135
Security,39.25,2,In stock,Philosophy,https://books.toscrape.com/media/cache/da/df/dadfac66a89774b46b10225362724c83.jpg,136
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,In stock,Add a comment,https://books.toscrape.com/media/cache/43/ae/43aee83ebb31e2122a7215e413770e5c.jpg,137
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,In stock,Nonfiction,https://books.toscrape.com/media/cache/e1/ea/e1ea6cb36e62ae6dc7b805f68ab9a700.jpg,138
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,In stock,Horror,https://books.toscrape.com/media/cache/97/f8/97f8debeeaaece9603267653076e760f.jpg,139
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,In stock,Fiction,https://books.toscrape.com/media/cache/f3/ef/f3efd43ae0fa85d9b325d5e8783e7af5.jpg,140
A Light in the Attic,51.77,3,In stock,Poetry,https://books.toscrape.com/media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg,141
Tipping the Velvet,53.74,1,In stock,Default,https://books.toscrape.com/media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,142
Soumission,50.1,1,In stock,Poetry,https://books.toscrape.com/media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,143
Sharp Objects,47.82,4,In stock,Young Adult,https://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,144
Sapiens: A Brief History of Humankind,54.23,5,In stock,Default,https://books.toscrape.com/media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg,145
The Requiem Red,22.65,1,In stock,Mystery,https://books.toscrape.com/media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg,146
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,In stock,Historical Fiction,https://books.toscrape.com/media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg,147
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,In stock,Sequential Art,https://books.toscrape.com/media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg,148
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,In stock,History,https://books.toscrape.com/media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg,149
The Black Maria,52.15,1,In stock,Travel,https://books.toscrape.com/media/cache/58/46/5846057e28022268153beff6d352b06c.jpg,150
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,In stock,Science Fiction,https://books.toscrape.com/media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg,151
Shakespeare's Sonnets,20.66,4,In stock,Business,https://books.toscrape.com/media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg,152
Set Me Free,17.46,5,In stock,Young Adult,https://books.toscrape.com/media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg,153
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,In stock,Music,https://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,154
Rip it Up and Start Again,35.02,5,In stock,Music,https://books.toscrape.com/media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg,155
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,In stock,Politics,https://books.toscrape.com/media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg,156
Olio,23.88,1,In stock,Fiction,https://books.toscrape.com/media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg,157
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,In stock,Poetry,https://books.toscrape.com/media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,158
Libertarianism for Beginners,51.33,2,In stock,Poetry,https://books.toscrape.com/media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg,159
It's Only the Himalayas,45.17,2,In stock,Default,https://books.toscrape.com/media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,160
Modern Romance,28.26,5,In stock,Sequential Art,https://books.toscrape.com/media/cache/28/78/2878538a1039d9c4649110499a1393fb.jpg,161
